Partition Line;********************
Full Name;ACH, Test 
Gender;Male
Age;
Birthdate;
Subject Number;
Medical Record;
Test Time;3/5/2020 2:28:26 PM
Reference;
Memo;

Time (sec.);X (sensor number);Y (sensor number);Level
39.1833;25;26;0
39.1833;28;29;3
39.1833;25;29;3
39.1833;30;29;2
39.1833;24;30;1
39.1833;25;30;3
39.1833;29;30;2
39.1833;29;31;0
39.1833;26;31;3
39.1833;26;32;1
39.1833;27;32;0
39.1917;39;26;1
39.1917;36;23;3
39.1917;37;23;2
39.1917;35;23;3
39.1917;24;27;0
39.1917;24;28;0
39.1917;24;29;1
39.1917;26;29;4
39.1917;25;32;0
39.2000;38;24;2
39.2000;37;28;1
39.2000;24;30;0
39.2083;32;24;2
39.2083;39;26;2
39.2083;39;27;1
39.2083;37;23;3
39.2083;25;27;2
39.2083;24;29;0
39.2083;28;30;3
39.2083;25;31;2
39.2167;33;25;3
39.2167;39;25;1
39.2167;35;26;2
39.2167;35;27;1
39.2167;34;23;2
39.2167;25;28;2
39.2167;26;32;0
39.2250;38;23;1
39.2250;27;26;3
39.2250;29;28;3
39.2250;25;30;2
39.2333;38;24;3
39.2333;39;24;1
39.2333;38;25;3
39.2333;38;26;3
39.2333;38;27;2
39.2333;37;28;2
39.2333;38;23;2
39.2333;27;26;4
39.2333;29;29;3
39.2333;27;29;2
39.2333;25;31;1
39.2417;36;26;3
39.2417;37;26;3
39.2417;36;27;2
39.2417;39;27;2
39.2417;36;28;1
39.2417;26;26;1
39.2417;27;26;3
39.2417;28;31;2
39.2500;28;26;3
39.2500;25;27;1
39.2500;27;27;3
39.2500;25;29;2
39.2583;32;25;1
39.2583;39;25;2
39.2583;38;28;1
39.2583;39;28;1
39.2583;26;27;3
39.2583;26;28;3
39.2583;25;31;0
39.2583;27;31;1
39.2667;39;24;2
39.2667;37;25;4
39.2667;34;26;1
39.2667;29;27;3
39.2667;28;28;3
39.2667;25;28;1
39.2667;27;30;3
39.2667;26;31;2
39.2750;37;24;4
39.2750;39;26;3
39.2750;29;26;3
39.2750;28;27;3
39.2750;27;30;4
39.2833;34;26;0
39.2833;37;27;3
39.2833;26;26;0
39.2833;25;27;0
39.2833;25;30;1
39.2917;40;26;1
39.2917;39;28;2
39.2917;26;29;3
39.2917;27;30;3
39.2917;27;31;2
39.3000;34;26;1
39.3000;37;28;3
39.3000;29;26;4
39.3000;26;30;3
39.3000;27;30;4
39.3083;39;27;3
39.3083;29;26;3
39.3167;36;28;2
39.3167;26;29;4
39.3167;30;29;3
39.3167;26;30;4
39.3167;28;31;3
39.3167;26;31;3
39.3250;35;27;2
39.3250;38;28;2
39.3250;25;28;0
39.3250;25;29;1
39.3250;26;29;3
39.3250;26;30;3
39.3250;29;31;1
39.3333;40;27;1
39.3333;39;28;3
39.3333;38;23;3
39.3333;30;26;2
39.3417;37;23;4
39.3500;33;26;1
39.3500;36;23;4
39.3500;30;26;3
39.3667;40;26;2
39.3667;36;24;4
39.3667;36;25;4
39.3667;37;22;1
39.3667;27;30;3
39.3667;26;31;2
39.3750;26;27;2
39.3750;25;29;0
39.3750;25;30;0
39.3833;34;25;3
39.3833;36;27;3
39.3833;31;26;1
39.3833;31;27;1
39.3833;27;31;1
39.3917;35;24;4
39.3917;39;25;3
39.3917;27;26;2
39.3917;26;28;2
39.3917;28;29;2
39.3917;29;31;0
39.4000;40;25;1
39.4000;38;27;3
39.4000;33;23;1
39.4000;39;23;1
39.4000;27;28;3
39.4000;28;31;2
39.4083;40;27;2
39.4083;32;25;2
39.4083;36;26;4
39.4083;38;26;4
39.4083;26;27;1
39.4083;27;27;2
39.4083;26;29;2
39.4083;27;29;1
39.4083;26;30;2
39.4083;26;31;1
39.4167;40;24;1
39.4167;40;28;1
39.4167;32;24;3
39.4167;38;25;4
39.4167;35;25;4
39.4167;36;22;1
39.4167;37;22;2
39.4167;27;27;3
39.4167;30;29;2
39.4250;32;24;2
39.4250;39;24;3
39.4250;38;25;3
39.4250;38;29;1
39.4250;34;23;3
39.4250;27;26;1
39.4250;27;27;2
39.4250;28;30;2
39.4250;29;30;1
39.4250;28;31;1
39.4333;32;24;3
39.4333;33;24;4
39.4333;34;24;4
39.4333;38;25;4
39.4333;33;26;2
39.4333;37;26;4
39.4333;39;23;2
39.4333;26;27;0
39.4333;26;28;1
39.4333;30;28;2
39.4333;26;30;1
39.4333;27;30;2
39.4333;26;31;0
39.4333;27;31;0
39.4417;40;24;2
39.4417;41;26;1
39.4417;40;28;2
39.4417;35;26;3
39.4417;39;26;4
39.4417;37;29;1
39.4417;38;22;1
39.4417;35;23;4
39.4417;27;26;0
39.4417;26;29;1
39.4500;40;27;3
39.4500;41;27;1
39.4500;30;26;2
39.4500;28;28;2
39.4500;29;28;2
39.4500;26;28;0
39.4500;27;28;2
39.4500;28;29;1
39.4500;29;29;2
39.4500;27;29;0
39.4500;26;30;0
39.4500;27;30;1
39.4583;40;26;3
39.4583;38;24;4
39.4583;36;28;3
39.4583;38;28;3
39.4583;36;22;2
39.4583;38;23;4
39.4583;28;26;2
39.4583;28;27;2
39.4583;27;27;1
39.4583;26;29;0
39.4583;28;30;1
39.4583;28;31;0
39.4667;40;25;2
39.4667;41;26;2
39.4667;41;27;2
39.4667;40;28;3
39.4667;37;27;4
39.4667;35;27;3
39.4667;39;27;4
39.4667;39;28;4
39.4667;38;29;2
39.4667;37;22;3
39.4667;39;23;3
39.4667;31;27;0
39.4750;40;25;1
39.4750;33;24;3
39.4750;37;25;5
39.4750;37;22;2
39.4750;28;26;1
39.4750;31;26;0
39.4750;30;27;2
39.4750;27;27;0
39.4750;27;28;1
39.4750;28;29;0
39.4750;30;29;1
39.4750;27;30;0
39.4833;41;27;3
39.4833;41;28;1
39.4833;32;24;2
39.4833;33;24;4
39.4833;38;27;4
39.4833;37;28;4
39.4833;35;28;1
39.4833;37;29;2
39.4833;37;22;3
39.4833;29;26;2
39.4833;30;26;1
39.4833;28;27;1
39.4833;29;27;2
39.4833;28;28;1
39.4833;29;28;1
39.4833;30;28;1
39.4833;29;29;1
39.4833;28;30;0
39.4833;29;30;0
39.4917;40;24;3
39.4917;40;25;2
39.4917;41;26;3
39.4917;33;24;3
39.4917;36;27;4
39.4917;39;29;1
39.4917;28;26;0
39.4917;29;26;1
39.4917;29;28;0
39.4917;30;28;0
39.4917;27;28;0
39.4917;29;29;0
39.4917;30;29;0
39.5000;41;25;1
39.5000;40;28;4
39.5000;41;28;2
39.5000;32;25;1
39.5000;39;25;4
39.5000;38;29;3
39.5000;38;22;2
39.5000;30;26;0
39.5000;28;27;0
39.5000;29;27;1
39.5000;30;27;0
39.5000;28;28;0
39.5083;42;26;1
39.5083;40;27;4
39.5083;42;27;1
39.5083;33;26;1
39.5083;29;26;0
39.5083;29;27;0
39.5167;42;26;2
39.5167;42;27;2
39.5167;32;24;1
39.5167;32;25;0
39.5167;36;26;5
39.5167;35;28;0
39.5167;33;23;0
39.5250;41;24;1
39.5250;41;25;2
39.5250;42;26;3
39.5250;42;27;3
39.5250;41;28;3
39.5250;40;29;1
39.5250;40;23;1
39.5250;32;24;0
39.5250;39;29;2
39.5333;41;24;2
39.5333;41;27;4
39.5333;34;24;3
39.5333;33;25;2
39.5333;33;26;0
39.5333;35;27;2
39.5333;38;28;4
39.5333;34;23;2
39.5417;40;26;4
39.5417;40;23;2
39.5417;33;24;2
39.5417;34;25;2
39.5417;38;26;5
39.5417;39;23;4
39.5500;40;24;4
39.5500;40;25;3
39.5500;42;25;1
39.5500;33;24;1
39.5500;33;25;0
39.5500;36;26;4
39.5500;34;26;0
39.5500;35;27;1
39.5500;36;28;2
39.5500;37;29;1
39.5500;35;23;3
39.5583;42;27;4
39.5583;42;28;1
39.5583;33;24;0
39.5583;35;26;2
39.5583;38;22;3
39.5583;34;23;1
39.5667;88;30;3
39.5667;88;31;2
39.5667;87;30;1
39.5667;42;25;2
39.5667;41;28;4
39.5667;40;23;3
39.5667;34;24;2
39.5667;39;24;4
39.5667;35;25;3
39.5667;35;27;0
39.5750;88;27;1
39.5750;88;28;4
39.5750;88;29;3
39.5750;88;30;4
39.5750;88;31;3
39.5750;89;31;1
39.5750;87;28;2
39.5750;87;29;4
39.5750;87;30;4
39.5750;41;24;3
39.5750;42;26;4
39.5750;34;25;1
39.5750;39;26;5
39.5750;36;27;3
39.5750;36;28;1
39.5750;37;29;0
